run_id,model_size,total_params,total_samples,total_steps,best_val_loss,best_val_step,final_train_loss,wall_time_hours
A1_deep_query_off,135M,157600000,300000,9370,1.349128246307373,7000,0.6322488784790039,1.6704287056128184
A6_coarse_only,135M,157600000,300000,9370,1.368622899055481,9000,0.6699250936508179,1.2552540270487467
A7_shallow_coarse_only,135M,157600000,300000,9370,1.3731982707977295,8400,0.6542712450027466,1.1855143579509524
A8_static_16frames,135M,157600000,306330,9370,2.922558546066284,400,2.0156121253967285,2.2556788614061145
A8_static_1frame,135M,157600000,299994,9370,2.904130458831787,400,1.8121895790100098,1.1633700607882607
A8_static_4frames,135M,157600000,300000,9370,2.8676366806030273,200,0.4934276342391968,1.3962772115071616
A8_static_8frames,135M,157600000,300000,9370,2.8577775955200195,200,0.47385627031326294,1.7117393193642298
D1_video_heavy,135M,157600000,301434,9370,1.3116534948349,9200,0.8120059370994568,1.9169515062040752
F1_freeze_both,135M,157600000,300000,9370,1.9955531358718872,9000,1.5166778564453125,1.250224865410063
F2_freeze_llm,135M,157600000,300000,9370,1.9376822710037231,9200,1.4497193098068237,1.5150272224346797
LR2,135M,157600000,300000,9370,1.332139015197754,7000,0.6200421452522278,1.7491638937923644
LR3,135M,157600000,300000,9370,1.3510119915008545,5600,0.6345911026000977,1.7707563325431612
LR4,135M,157600000,300000,9370,1.3547300100326538,6200,0.6287178993225098,1.7789794268210728
baseline,135M,157600000,300000,9370,1.360517978668213,6200,0.6324573755264282,1.7390330460998746
longvid_coarse,135M,157600000,49984,1560,2.1464855670928955,600,2.3110523223876953,1.1388647048340903
longvid_fine,135M,157600000,49984,1560,2.1619369983673096,200,2.295466184616089,1.2386761390500598
135M-C1-F,135M,157600000,67000,2020,1.4177716970443726,2000,1.2337911128997803,1.0269358497858048
135M-C2-F,135M,157600000,227650,7070,1.3251452445983887,7000,1.2180629968643188,1.3481950190994474
135M-C3-F,135M,157600000,647632,20210,1.3131518363952637,16500,1.1772009134292603,4.154663485089938
135M-scaling,135M,157600000,656880,20500,1.192271113395691,15250,0.5523109436035156,4.3261581229501305
360M-lr-sweep-3e4,360M,382600000,100000,3120,1.6307196617126465,400,0.7897517681121826,1.0918356168270111
360M-lr-sweep-5e4,360M,382600000,100000,3120,1.5300438404083252,2800,0.7295632362365723,1.126654295788871
360M-lr-sweep-7e4,360M,382600000,100000,3120,1.4972736835479736,3100,0.7181475162506104,1.1014612438281377
360M-scaling,360M,382600000,701947,21930,1.3501468896865845,20250,0.39898014068603516,7.021381670700179
